idLog,idPersona,zona1,zona2,zona3,zona4
194,4,0,0,0,0.38
195,1,0,0,0.55,0.55
196,4,0,0,0,0.4
197,1,0,0,0.57,0.55
198,4,0,0,0,0.42
199,1,0,0,0.58,0.55
200,4,0,0,0,0.43
201,1,0,0,0.6,0.55
202,4,0,0,0,0.45
203,1,0,0,0.62,0.55
204,4,0,0,0,0.47
205,1,0,0,0.63,0.55
206,4,0,0,0,0.48
207,1,0,0,0.65,0.55
208,4,0,0,0,0.5
209,1,0,0,0.67,0.55
210,4,0,0,0,0.52
211,1,0,0,0.68,0.55
212,4,0,0,0,0.53
213,1,0,0,0.7,0.55
214,4,0,0,0,0.55
215,1,0,0,0.72,0.55
216,4,0,0,0,0.57
217,1,0,0,0.73,0.55
218,4,0,0,0,0.58
219,6,0,0,0.02,0
220,1,0,0,0.75,0.55
221,4,0,0,0,0.6
222,6,0,0,0.03,0
223,1,0,0,0.77,0.55
224,4,0,0,0,0.62
225,6,0,0,0.05,0
226,1,0,0,0.78,0.55
227,4,0,0,0,0.63
228,6,0,0,0.07,0
229,1,0,0,0.8,0.55
230,4,0,0,0,0.65
231,6,0,0,0.08,0
232,1,0,0,0.82,0.55
233,4,0,0,0,0.67
234,6,0,0,0.1,0
235,1,0,0,0.83,0.55
236,4,0,0,0,0.68
237,6,0,0,0.12,0
238,1,0,0,0.85,0.55
239,4,0,0,0,0.7
240,6,0,0,0.13,0
241,1,0,0,0.87,0.55
242,4,0,0,0,0.72
243,6,0,0,0.15,0
244,1,0,0,0.88,0.55
245,4,0,0,0,0.73
246,6,0,0,0.17,0
247,1,0,0,0.9,0.55
248,4,0,0,0,0.75
249,6,0,0,0.18,0
250,1,0,0,0.92,0.55
251,4,0,0,0,0.77
252,6,0,0,0.2,0
253,7,0,0,0.02,0
254,1,0,0,0.93,0.55
255,4,0,0,0,0.78
256,6,0,0,0.22,0
257,7,0,0,0.03,0
258,1,0,0,0.95,0.55
259,4,0,0,0,0.8
260,6,0,0,0.23,0
261,7,0,0,0.05,0
262,1,0,0,0.97,0.55
263,4,0,0,0,0.82
264,6,0,0,0.25,0
265,7,0,0,0.07,0
266,1,0,0,0.98,0.55
267,4,0,0,0,0.83
268,6,0,0,0.27,0
269,7,0,0,0.08,0
270,1,0,0,1.0,0.55
271,4,0,0,0,0.85
272,6,0,0,0.27,0.02
273,7,0,0,0.1,0
274,1,0,0,1.02,0.55
275,4,0,0,0,0.87
276,6,0,0,0.27,0.03
277,7,0,0,0.12,0
278,8,0,0,0.02,0
279,1,0,0,1.03,0.55
280,4,0,0,0,0.88
281,6,0,0,0.27,0.05
282,7,0,0,0.13,0
283,1,0,0,1.05,0.55
284,4,0,0,0,0.9
285,6,0,0,0.27,0.07
286,7,0,0,0.15,0
287,1,0,0,1.07,0.55
288,4,0,0,0,0.92
289,6,0,0,0.27,0.08
290,7,0,0,0.17,0
291,1,0,0,1.08,0.55
292,4,0,0,0,0.93
293,6,0,0,0.27,0.1
294,7,0,0,0.18,0
295,1,0,0,1.1,0.55
296,4,0,0,0,0.95
297,6,0,0,0.27,0.12
298,7,0,0,0.2,0
299,1,0,0,1.12,0.55
300,4,0,0,0,0.97
301,6,0,0,0.27,0.13
302,7,0,0,0.22,0
303,1,0,0,1.13,0.55
304,6,0,0,0.27,0.15
305,7,0,0,0.23,0
306,1,0,0,1.15,0.55
307,6,0,0,0.27,0.17
308,7,0,0,0.25,0
